Name,hermes.sivers.pi+.3d
Comment,HERMESS SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.3d.19,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.652876280911551,1.0,2.195562470074582,0.084,0.072,0.098,0.244,0.2,0.28,0.643,0.54,2.0,0.06445,0.033874,0.000778,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.20,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.3758633653092156,1.0,2.195562470074582,0.084,0.072,0.098,0.321,0.28,0.37,0.142,0.0,0.23,-0.055586,0.024625,0.003099,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.21,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.4638989036132242,1.0,2.195562470074582,0.084,0.072,0.098,0.322,0.28,0.37,0.293,0.23,0.36,0.080973,0.035076,0.009267,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.22,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.515585695366646,1.0,2.195562470074582,0.084,0.072,0.098,0.321,0.28,0.37,0.444,0.36,0.54,0.09708,0.028263,0.001938,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.23,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5842979517754858,1.0,2.195562470074582,0.084,0.072,0.098,0.325,0.28,0.37,0.676,0.54,2.0,0.088619,0.028475,0.011688,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.24,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.3538833036861042,1.0,2.195562470074582,0.085,0.072,0.098,0.423,0.37,0.49,0.146,0.0,0.23,0.066228,0.027604,0.006972,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.25,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.4092551223962253,1.0,2.195562470074582,0.085,0.072,0.098,0.424,0.37,0.49,0.293,0.23,0.36,0.066944,0.036169,0.006347,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.26,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.4758048651498612,1.0,2.195562470074582,0.084,0.072,0.098,0.425,0.37,0.49,0.443,0.36,0.54,0.036372,0.037771,0.011238,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.27,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.543696861433617,1.0,2.195562470074582,0.084,0.072,0.098,0.427,0.37,0.49,0.719,0.54,2.0,0.065243,0.029149,0.002744,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.28,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.3334166640626628,1.0,2.195562470074582,0.085,0.072,0.098,0.578,0.49,0.7,0.148,0.0,0.23,0.035908,0.032681,0.001519,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.29,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.3660161053223348,1.0,2.195562470074582,0.085,0.072,0.098,0.58,0.49,0.7,0.295,0.23,0.36,0.078409,0.03554,0.001816,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.30,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.419506956657839,1.0,2.195562470074582,0.084,0.072,0.098,0.583,0.49,0.7,0.443,0.36,0.54,0.039426,0.040704,0.002812,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
