Name,compass08.sivers.k-leading.dx
Comment,COMPASS SSA-Sivers k- leading (differential in x)
Reference,0802.2160
Process type,SIDIS
Number of points,9
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,1.1090536506409416,1.0,1.4700857117869013,0.006479,0.003,0.008,0.35,0.25,1.0,0.6,0.1,10.0,-0.0279,0.0719,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,1.2165525060596438,1.0,1.8739989327638369,0.01056,0.008,0.013,0.4,0.25,1.0,0.58,0.1,10.0,-0.0427,0.0438,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,1.3341664064126333,1.0,2.3244096024582244,0.01627,0.013,0.02,0.42,0.25,1.0,0.57,0.1,10.0,-0.0612,0.038,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,1.5297058540778354,1.0,2.9401714235738026,0.02525,0.02,0.032,0.45,0.25,1.0,0.55,0.1,10.0,0.0158,0.0348,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,1.8841443681416772,1.0,3.6752142794672533,0.03961,0.032,0.05,0.47,0.25,1.0,0.55,0.1,10.0,-0.1245,0.0398,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,2.3727621035409343,1.2250714264890845,4.648819204916449,0.06252,0.05,0.08,0.46,0.25,1.0,0.55,0.1,10.0,-0.0386,0.0491,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,2.9832867780352594,1.549606401638816,5.926104960258466,0.09997,0.08,0.13,0.46,0.25,1.0,0.54,0.1,10.0,0.0746,0.0611,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,3.794733192202055,1.9753683200861554,7.531947955210524,0.1595,0.13,0.21,0.45,0.25,1.0,0.56,0.1,10.0,-0.006,0.0922,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k-leading.dx.0,1 - 1 - 12001,301.03984399999996,5.282045058497703,2.5321309282844524,16.436057921533376,0.2812,0.21,1.0,0.43,0.25,1.0,0.57,0.1,10.0,0.26,0.1676,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
