Name,hermes.sivers.pi-.Qint.dpt
Comment,HERMESS SSA-Sivers pi- (integrated in Q, differential in pt). The data MUST be evaluated at a point
Reference,0906.3918
Process type,SIDIS
Number of points,7
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5665248162732692,1.0,4.435706031738352,0.106,0.023,0.4,0.337,0.2,0.7,0.11,1e-05,0.17,0.0078,0.0082,0.0052,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.563649577111189,1.0,4.435706031738352,0.102,0.023,0.4,0.346,0.2,0.7,0.211,0.17,0.25,0.0122,0.0088,0.0041,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5469324484281788,1.0,4.435706031738352,0.096,0.023,0.4,0.35,0.2,0.7,0.29,0.25,0.33,0.0069,0.0086,0.0032,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5211837495845135,1.0,4.435706031738352,0.089,0.023,0.4,0.348,0.2,0.7,0.369,0.33,0.41,-0.0064,0.0087,0.0023,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5063200191194432,1.0,4.435706031738352,0.083,0.023,0.4,0.349,0.2,0.7,0.488,0.41,0.58,0.0044,0.0067,0.0009,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5049916943292412,1.0,4.435706031738352,0.079,0.023,0.4,0.371,0.2,0.7,0.67,0.58,0.8,0.0026,0.0086,0.0012,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.Qint.dpt.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.49130815058458,1.0,4.435706031738352,0.072,0.023,0.4,0.433,0.2,0.7,0.951,0.8,2.0,0.0292,0.014,0.0042,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
