Name,hermes.sivers.pi-.3d
Comment,HERMESS SSA-Sivers pi- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi-.3d.19,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.6501515081955354,1.0,2.195562470074582,0.083,0.072,0.098,0.244,0.2,0.28,0.644,0.54,2.0,0.016133,0.038666,0.007194,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.20,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.3725887949418791,1.0,2.195562470074582,0.084,0.072,0.098,0.321,0.28,0.37,0.142,0.0,0.23,-0.032927,0.028387,0.003003,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.21,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.4580809305384939,1.0,2.195562470074582,0.084,0.072,0.098,0.322,0.28,0.37,0.292,0.23,0.36,0.033354,0.041554,0.005562,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.22,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.503662196106559,1.0,2.195562470074582,0.084,0.072,0.098,0.32,0.28,0.37,0.445,0.36,0.54,-0.039104,0.032194,0.003046,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.23,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5760710643876437,1.0,2.195562470074582,0.084,0.072,0.098,0.324,0.28,0.37,0.678,0.54,2.0,-0.031201,0.033009,0.009194,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.24,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.348332303254654,1.0,2.195562470074582,0.084,0.072,0.098,0.423,0.37,0.49,0.146,0.0,0.23,2.1e-05,0.033513,0.002238,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.25,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.3971399357258385,1.0,2.195562470074582,0.084,0.072,0.098,0.424,0.37,0.49,0.292,0.23,0.36,-0.060613,0.043775,0.002102,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.26,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.4744490496453242,1.0,2.195562470074582,0.084,0.072,0.098,0.424,0.37,0.49,0.442,0.36,0.54,0.050394,0.044647,0.000891,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.27,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.539155612665594,1.0,2.195562470074582,0.084,0.072,0.098,0.425,0.37,0.49,0.724,0.54,2.0,-0.066981,0.03411,0.012165,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.28,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.3326664999166145,1.0,2.195562470074582,0.084,0.072,0.098,0.579,0.49,0.7,0.148,0.0,0.23,0.024847,0.039859,0.004307,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
