Name,hermes.sivers.pi+.Qint.dz
Comment,HERMESS SSA-Sivers pi+ (integrated in Q, differential in z). The data MUST be evaluated at a point
Reference,0906.3918
Process type,SIDIS
Number of points,7
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5565988564816564,1.0,4.435706031738352,0.086,0.023,0.4,0.234,0.2,0.27,0.346,1e-05,2.0,0.0333,0.005,0.0034,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5582040944625963,1.0,4.435706031738352,0.094,0.023,0.4,0.303,0.27,0.34,0.377,1e-05,2.0,0.0365,0.0057,0.0052,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5572411502397436,1.0,4.435706031738352,0.097,0.023,0.4,0.373,0.34,0.41,0.403,1e-05,2.0,0.0348,0.0067,0.007,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.554991961394013,1.0,4.435706031738352,0.099,0.023,0.4,0.447,0.41,0.49,0.429,1e-05,2.0,0.0463,0.0075,0.009,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5527395145355192,1.0,4.435706031738352,0.1,0.023,0.4,0.523,0.49,0.56,0.453,1e-05,2.0,0.0577,0.0096,0.011,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5491933384829668,1.0,4.435706031738352,0.101,0.023,0.4,0.593,0.56,0.63,0.465,1e-05,2.0,0.0623,0.0113,0.0128,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dz.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.54434452114805,1.0,4.435706031738352,0.103,0.023,0.4,0.663,0.63,0.7,0.465,1e-05,2.0,0.0803,0.0132,0.0146,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
