Name,hermes.sivers.pi+.Qint.dpt
Comment,HERMESS SSA-Sivers pi+ (integrated in Q, differential in pt). The data MUST be evaluated at a point
Reference,0906.3918
Process type,SIDIS
Number of points,7
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5915401345866211,1.0,4.435706031738352,0.109,0.023,0.4,0.341,0.2,0.7,0.11,1e-05,0.17,0.0039,0.0069,0.0054,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5905973720586866,1.0,4.435706031738352,0.106,0.023,0.4,0.35,0.2,0.7,0.211,0.17,0.25,0.0233,0.0073,0.0027,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.57670542588018,1.0,4.435706031738352,0.1,0.023,0.4,0.355,0.2,0.7,0.29,0.25,0.33,0.0334,0.0073,0.0007,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5540270267920053,1.0,4.435706031738352,0.093,0.023,0.4,0.355,0.2,0.7,0.37,0.33,0.41,0.0594,0.0073,0.0017,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5303594349041012,1.0,4.435706031738352,0.086,0.023,0.4,0.36,0.2,0.7,0.488,0.41,0.58,0.0602,0.0057,0.0049,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.517563837207516,1.0,4.435706031738352,0.08,0.023,0.4,0.388,0.2,0.7,0.669,0.58,0.8,0.063,0.0073,0.0097,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.Qint.dpt.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.5039946808416578,1.0,4.435706031738352,0.073,0.023,0.4,0.453,0.2,0.7,0.954,0.8,2.0,0.0632,0.0118,0.0168,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
