Name,hermes.sivers.k-.3d
Comment,HERMESS SSA-Sivers k- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k-.3d.19,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.6586138791171379,1.0,2.195562470074582,0.084,0.072,0.098,0.242,0.2,0.28,0.648,0.54,2.0,0.002524,0.128711,0.002998,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.20,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.396782015920881,1.0,2.195562470074582,0.084,0.072,0.098,0.323,0.28,0.37,0.138,0.0,0.23,0.076354,0.092707,0.003287,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.21,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.4959946523968592,1.0,2.195562470074582,0.084,0.072,0.098,0.322,0.28,0.37,0.292,0.23,0.36,-0.27499,0.182765,0.011385,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.22,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.5482247898803325,1.0,2.195562470074582,0.084,0.072,0.098,0.321,0.28,0.37,0.444,0.36,0.54,-0.076541,0.116701,0.003319,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.23,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.574166446091391,1.0,2.195562470074582,0.084,0.072,0.098,0.324,0.28,0.37,0.693,0.54,2.0,0.079093,0.102618,0.000904,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.24,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.3579396157414365,1.0,2.195562470074582,0.084,0.072,0.098,0.424,0.37,0.49,0.143,0.0,0.23,0.060622,0.106712,0.000345,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.25,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.4349216006458332,1.0,2.195562470074582,0.084,0.072,0.098,0.424,0.37,0.49,0.294,0.23,0.36,-0.019013,0.136442,0.010942,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.26,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.5066519173319364,1.0,2.195562470074582,0.083,0.072,0.098,0.424,0.37,0.49,0.443,0.36,0.54,0.067469,0.152721,0.002246,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.27,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.5658863304850708,1.0,2.195562470074582,0.084,0.072,0.098,0.423,0.37,0.49,0.727,0.54,2.0,-0.031845,0.113726,0.004165,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.28,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.3740451229854134,1.0,2.195562470074582,0.085,0.072,0.098,0.567,0.49,0.7,0.15,0.0,0.23,0.124768,0.130656,0.019209,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.29,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.4152738250953418,1.0,2.195562470074582,0.085,0.072,0.098,0.57,0.49,0.7,0.295,0.23,0.36,-0.258347,0.131336,0.009025,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.30,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.4693535993762699,1.0,2.195562470074582,0.084,0.072,0.098,0.577,0.49,0.7,0.44,0.36,0.54,-0.255318,0.170006,0.010727,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.31,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.5543487382180359,1.0,2.195562470074582,0.084,0.072,0.098,0.57,0.49,0.7,0.772,0.54,2.0,0.147778,0.128011,0.01994,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.32,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7372391890583172,1.0,2.6053873723498393,0.116,0.098,0.138,0.24,0.2,0.28,0.138,0.0,0.23,-0.028479,0.089705,0.010426,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.33,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.8066543665017942,1.0,2.6053873723498393,0.115,0.098,0.138,0.241,0.2,0.28,0.29,0.23,0.36,0.192687,0.128241,0.00537,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.34,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.817690842800282,1.0,2.6053873723498393,0.115,0.098,0.138,0.238,0.2,0.28,0.444,0.36,0.54,-0.156473,0.106656,0.006219,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.35,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.8994736112934025,1.0,2.6053873723498393,0.115,0.098,0.138,0.243,0.2,0.28,0.649,0.54,2.0,0.173007,0.159935,0.006343,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.36,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.6407315441594947,1.0,2.6053873723498393,0.116,0.098,0.138,0.323,0.28,0.37,0.142,0.0,0.23,0.003915,0.087845,0.011508,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.37,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7274258305351347,1.0,2.6053873723498393,0.116,0.098,0.138,0.322,0.28,0.37,0.294,0.23,0.36,-0.048977,0.131537,0.0011,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.38,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.7481418706729726,1.0,2.6053873723498393,0.115,0.098,0.138,0.324,0.28,0.37,0.45,0.36,0.54,0.03312,0.109669,0.018255,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.39,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.827840255602223,1.0,2.6053873723498393,0.116,0.098,0.138,0.324,0.28,0.37,0.694,0.54,2.0,0.230877,0.115295,0.003746,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.40,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.556920036482285,1.0,2.6053873723498393,0.115,0.098,0.138,0.423,0.37,0.49,0.149,0.0,0.23,0.28723,0.094643,0.012557,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.41,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.6410362579784763,1.0,2.6053873723498393,0.117,0.098,0.138,0.427,0.37,0.49,0.293,0.23,0.36,-0.080353,0.112329,0.017216,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
