Name,hermes.sivers.k+.3d
Comment,HERMESS SSA-Sivers k+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k+.3d.19,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.6498484778912275,1.0,2.195562470074582,0.084,0.072,0.098,0.244,0.2,0.28,0.652,0.54,2.0,-0.045023,0.089959,0.010019,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.20,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.4078352176302453,1.0,2.195562470074582,0.084,0.072,0.098,0.323,0.28,0.37,0.142,0.0,0.23,0.054019,0.065623,0.000521,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.21,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.487615541731129,1.0,2.195562470074582,0.084,0.072,0.098,0.324,0.28,0.37,0.293,0.23,0.36,0.186505,0.100432,0.005862,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.22,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.543696861433617,1.0,2.195562470074582,0.084,0.072,0.098,0.324,0.28,0.37,0.446,0.36,0.54,0.032033,0.083187,0.003408,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.23,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5940514420808383,1.0,2.195562470074582,0.084,0.072,0.098,0.327,0.28,0.37,0.69,0.54,2.0,-0.004417,0.068755,0.002704,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.24,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.3704014010500718,1.0,2.195562470074582,0.085,0.072,0.098,0.423,0.37,0.49,0.145,0.0,0.23,-0.018301,0.062756,0.007015,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.25,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.439791651594077,1.0,2.195562470074582,0.084,0.072,0.098,0.425,0.37,0.49,0.294,0.23,0.36,0.007843,0.09272,0.015588,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.26,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.4936532395439042,1.0,2.195562470074582,0.084,0.072,0.098,0.427,0.37,0.49,0.445,0.36,0.54,0.208264,0.092512,0.011416,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.27,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5630099167951559,1.0,2.195562470074582,0.084,0.072,0.098,0.43,0.37,0.49,0.735,0.54,2.0,0.153364,0.067667,0.00454,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.28,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.3696714934611145,1.0,2.195562470074582,0.085,0.072,0.098,0.577,0.49,0.7,0.15,0.0,0.23,0.094049,0.077722,0.007938,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.29,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.3939153489362257,1.0,2.195562470074582,0.084,0.072,0.098,0.575,0.49,0.7,0.297,0.23,0.36,0.00973,0.091099,0.009785,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.30,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.433527118683145,1.0,2.195562470074582,0.085,0.072,0.098,0.583,0.49,0.7,0.446,0.36,0.54,0.120984,0.088863,0.002923,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.31,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5267612779999367,1.0,2.195562470074582,0.084,0.072,0.098,0.587,0.49,0.7,0.768,0.54,2.0,0.087299,0.0724,0.001512,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.32,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.7213366899011942,1.0,2.6053873723498393,0.116,0.098,0.138,0.241,0.2,0.28,0.139,0.0,0.23,0.062203,0.063018,0.012812,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.33,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.820164827701052,1.0,2.6053873723498393,0.116,0.098,0.138,0.239,0.2,0.28,0.29,0.23,0.36,0.128391,0.08612,0.010557,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.34,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.803052966498766,1.0,2.6053873723498393,0.115,0.098,0.138,0.24,0.2,0.28,0.443,0.36,0.54,-0.153557,0.07775,0.01572,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.35,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.8790955271087204,1.0,2.6053873723498393,0.115,0.098,0.138,0.245,0.2,0.28,0.65,0.54,2.0,-0.148033,0.11442,0.03489,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.36,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.625423021862309,1.0,2.6053873723498393,0.116,0.098,0.138,0.324,0.28,0.37,0.142,0.0,0.23,0.108238,0.054498,0.009477,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.37,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.7061652909375458,1.0,2.6053873723498393,0.116,0.098,0.138,0.326,0.28,0.37,0.292,0.23,0.36,0.046904,0.081181,0.007327,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.38,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.7538529014715003,1.0,2.6053873723498393,0.115,0.098,0.138,0.323,0.28,0.37,0.446,0.36,0.54,0.101353,0.076419,0.010628,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.39,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.7894133116750863,1.0,2.6053873723498393,0.116,0.098,0.138,0.327,0.28,0.37,0.682,0.54,2.0,0.005787,0.077432,0.02385,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.40,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5940514420808383,1.0,2.6053873723498393,0.116,0.098,0.138,0.424,0.37,0.49,0.148,0.0,0.23,0.098582,0.057677,0.001176,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
