Name,compass08.sivers.k+.dx
Comment,COMPASS SSA-Sivers k+ (differential in x)
Reference,0802.2160
Process type,SIDIS
Number of points,9
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,1.1135528725660044,1.0,1.4700857117869013,0.006452,0.003,0.008,0.3,0.2,1.0,0.57,0.1,10.0,-0.0419,0.0447,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,1.2206555615733703,1.0,1.8739989327638369,0.01054,0.008,0.013,0.35,0.2,1.0,0.56,0.1,10.0,-0.012,0.0266,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,1.3490737563232043,1.0,2.3244096024582244,0.01628,0.013,0.02,0.39,0.2,1.0,0.56,0.1,10.0,0.0214,0.023,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,1.5459624833740306,1.0,2.9401714235738026,0.02533,0.02,0.032,0.44,0.2,1.0,0.55,0.1,10.0,0.0458,0.0222,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,1.9,1.0,3.6752142794672533,0.0398,0.032,0.05,0.46,0.2,1.0,0.54,0.1,10.0,0.0085,0.0258,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,2.3958297101421877,1.2250714264890845,4.648819204916449,0.06279,0.05,0.08,0.45,0.2,1.0,0.54,0.1,10.0,0.0143,0.0292,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,3.0166206257996713,1.549606401638816,5.926104960258466,0.1008,0.08,0.13,0.45,0.2,1.0,0.53,0.1,10.0,-0.0245,0.0359,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,3.8078865529319543,1.9753683200861554,7.531947955210524,0.1608,0.13,0.21,0.45,0.2,1.0,0.54,0.1,10.0,-0.0015,0.0505,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.k+.dx.0,1 - 1 - 12012,1 - 1 - 2012,301.03984399999996,5.357238094391549,2.5321309282844524,16.436057921533376,0.2847,0.21,1.0,0.44,0.2,1.0,0.56,0.1,10.0,0.017,0.082,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
