Name,compass16.sivers.h-.1<z<2.4<Q<9.dz
Comment,COMPASS16 SSA-Sivers h-, 0.1<z<0.2, 4<Q<9 (differential in z)
Reference,1609.07374
Process type,SIDIS
Number of points,5
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.sivers.h-.1<z<2.4<Q<9.dz.0,1 - 1 - 12040,1 - 1 - 2040,301.03984399999996,5.1312766442669995,1.284865751742181,14.700857117869013,0.221,0.055,0.8,0.11,0.1,0.12,0.4,0.1,10.0,0.027,0.02,0.022,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.4<Q<9.dz.0,1 - 1 - 12040,1 - 1 - 2040,301.03984399999996,5.126402247190518,1.284865751742181,14.700857117869013,0.225,0.055,0.8,0.13,0.12,0.14,0.41,0.1,10.0,0.014,0.022,0.025,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.4<Q<9.dz.0,1 - 1 - 12040,1 - 1 - 2040,301.03984399999996,5.122499389946279,1.284865751742181,14.700857117869013,0.227,0.055,0.8,0.15,0.14,0.16,0.43,0.1,10.0,0.009,0.024,0.027,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.4<Q<9.dz.0,1 - 1 - 12040,1 - 1 - 2040,301.03984399999996,5.117616632769594,1.284865751742181,14.700857117869013,0.23,0.055,0.8,0.17,0.16,0.18,0.44,0.1,10.0,0.047,0.026,0.029,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.4<Q<9.dz.0,1 - 1 - 12040,1 - 1 - 2040,301.03984399999996,5.112729212465687,1.284865751742181,14.700857117869013,0.232,0.055,0.8,0.19,0.18,0.2,0.46,0.1,10.0,-0.012,0.029,0.032,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
