Name,compass08.sivers.pi+.dpt
Comment,COMPASS SSA-Sivers pi+ (differential in pt)
Reference,0802.2160
Process type,SIDIS
Number of points,9
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.783255450012701,1.0,16.436057921533376,0.043,0.03,1.0,0.35,0.2,1.0,0.1547,0.1,0.2,0.0001,0.0115,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.772004514666935,1.0,16.436057921533376,0.042,0.03,1.0,0.35,0.2,1.0,0.2519,0.2,0.3,-0.0115,0.0095,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.772004514666935,1.0,16.436057921533376,0.041,0.03,1.0,0.35,0.2,1.0,0.3496,0.3,0.4,-0.0065,0.009,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.797220075561143,1.0,16.436057921533376,0.041,0.03,1.0,0.35,0.2,1.0,0.4482,0.4,0.5,-0.003,0.0095,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.8138357147217055,1.0,16.436057921533376,0.041,0.03,1.0,0.36,0.2,1.0,0.5475,0.5,0.6,0.0015,0.0108,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.833030277982336,1.0,16.436057921533376,0.04,0.03,1.0,0.37,0.2,1.0,0.6681,0.6,0.75,-0.0091,0.0108,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.8601075237738274,1.0,16.436057921533376,0.04,0.03,1.0,0.39,0.2,1.0,0.817,0.75,0.9,0.0083,0.0145,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,1.9,1.0,16.436057921533376,0.039,0.03,1.0,0.41,0.2,1.0,1.042,0.9,1.3,-0.0342,0.0157,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass08.sivers.pi+.dpt.0,1 - 1 - 12011,1 - 1 - 2011,301.03984399999996,2.0199009876724157,1.0,16.436057921533376,0.038,0.03,1.0,0.43,0.2,1.0,1.549,1.3,10.0,-0.0118,0.0333,1.0,True,0.1,0.9,25.0,10000.0,0.938,0.139
