Name,hermes.p.no-vmsub.zxpt.pi+
Comment,HERMES proton-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,336
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi+.17,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2877546,0.25,0.3,0.4189956,0.35,0.45,3.307442,0.05879521,0.1206224,0.09997455222491743,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.18,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2907836,0.25,0.3,0.550485,0.45,0.6,2.366844,0.03703667,0.06318243,0.0715429534625951,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.19,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2974947,0.25,0.3,0.7397019,0.6,0.8,1.028531,0.02189162,0.03982696,0.031089562923385067,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.20,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3072802,0.3,0.375,1.037783,0.8,1.2,0.2098776,0.009234713,0.009130716,0.006344002126731272,0.0054948304273133245,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.21,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3362224,0.3,0.375,0.1042253,0.0,0.15,0.7852738,0.03151487,0.05560086,0.02373659055214252,0.014652881139502198,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.22,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3423433,0.3,0.375,0.2076161,0.15,0.25,1.697993,0.04190277,0.1003129,0.05132549258794084,0.021979321709253295,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.23,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3437677,0.3,0.375,0.3105868,0.25,0.35,2.125479,0.0432798,0.1290119,0.06424717690845834,0.021979321709253298,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.24,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3460258,0.3,0.375,0.4137805,0.35,0.45,2.285836,0.04312852,0.1276444,0.0690943123294668,0.021979321709253284,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.25,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3496685,0.3,0.375,0.5444205,0.45,0.6,1.670229,0.02582635,0.08004342,0.05048626593847197,0.014652881139502198,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.26,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3548945,0.3,0.375,0.723579,0.6,0.8,0.8599703,0.01532935,0.04648901,0.025994453015117998,0.010989660854626642,True,0.1,0.85,10.0,10000.0,0.938,0.139
