Name,hermes.p.vmsub.zxpt.k+
Comment,HERMES proton-to-k+ (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,334
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.k+.17,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2834857,0.25,0.3,0.4129904,0.35,0.45,0.4854378,0.02666248,0.2174382,0.014673402190589893,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.18,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2864452,0.25,0.3,0.5438605,0.45,0.6,0.3515523,0.0165577,0.1574309,0.010626424825027873,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.19,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2859152,0.25,0.3,0.7129083,0.6,0.8,0.2137533,0.01151043,0.09566898,0.00646115349992485,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.20,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2920116,0.25,0.3,0.9804633,0.8,1.2,0.05024533,0.004877731,0.02247928,0.001518773229626766,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.21,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3384978,0.3,0.375,0.1003297,0.0,0.15,0.1493616,0.01492291,0.005063339,0.0045147757933766425,0.014652881139502198,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.22,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.335436,0.3,0.375,0.2013487,0.15,0.25,0.3277741,0.02050847,0.09541592,0.009907677558193101,0.021979321709253295,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.23,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3432446,0.3,0.375,0.3082235,0.25,0.35,0.377085,0.02074012,0.1098784,0.01139820563013138,0.021979321709253298,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.24,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3422826,0.3,0.375,0.4063505,0.35,0.45,0.4180604,0.02141358,0.1219309,0.012636775276171092,0.021979321709253284,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.25,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3454118,0.3,0.375,0.5348308,0.45,0.6,0.2926854,0.01254007,0.08537295,0.008847046088116086,0.014652881139502198,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.26,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3480892,0.3,0.375,0.7094505,0.6,0.8,0.180346,0.008073269,0.05268268,0.005451345963301838,0.010989660854626642,True,0.1,0.85,10.0,10000.0,0.938,0.494
