Name,hermes.d.no-vmsub.zxpt.pi-
Comment,HERMES deutron-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.pi-.17,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2867932,0.25,0.3,0.4183916,0.35,0.45,2.695602,0.04828757,0.2293164,0.08608219938137382,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.18,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2880971,0.25,0.3,0.5462103,0.45,0.6,1.960705,0.03060922,0.1674664,0.06261376818167391,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.19,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2927297,0.25,0.3,0.7302418,0.6,0.8,0.931145,0.01827272,0.07328596,0.029735476358516325,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.20,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3002335,0.3,0.375,1.017473,0.8,1.2,0.2146742,0.008091232,0.01704135,0.006855473206518217,0.005748171389290355,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.21,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.335001,0.3,0.375,0.09968262,0.0,0.15,0.5754974,0.02432109,0.1594577,0.018378114399033033,0.015328457038107611,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.22,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3420836,0.3,0.375,0.2091559,0.15,0.25,1.37658,0.03475483,0.282239,0.04396013729935338,0.022992685557161417,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.23,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.345346,0.3,0.375,0.3125743,0.25,0.35,1.771535,0.03553762,0.2661151,0.056572754093921165,0.02299268555716142,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.24,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3481194,0.3,0.375,0.4149581,0.35,0.45,1.810584,0.03402612,0.2068488,0.057819757102393204,0.022992685557161406,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.25,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3482111,0.3,0.375,0.542136,0.45,0.6,1.405032,0.02138809,0.1567204,0.04486873238750024,0.015328457038107611,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.26,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3552817,0.3,0.375,0.7274046,0.6,0.8,0.6873725,0.01204991,0.07170401,0.021950768917026096,0.011496342778580703,True,0.1,0.85,10.0,10000.0,0.938,0.139
