Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.19,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,0.0749,0.0127,0.1988,0.0005762614558714681,0.04972630038452012,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.20,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,0.0566,0.01,0.2082,0.0004354659332753684,0.04972630038452012,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.21,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,0.0383,0.0096,0.2486,0.00029467041067926877,0.043510512836455156,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.22,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.328147595277558,1.296148139681572,1.3601470508735443,0.0431,0.0086,0.2323,0.0003316003838192293,0.04095107090489886,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.23,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.3959645786005899,1.3601470508735443,1.4317821063276353,0.0169,0.0042,0.2612,0.00013002428043027784,0.03480841026916407,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.24,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.4823765390016121,1.4317821063276353,1.5329709716755893,0.0151,0.0036,0.2703,0.00011617554050279265,0.023205606846109356,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.25,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.58042651564278,1.5329709716755893,1.6278820596099706,0.0098,0.0027,0.301,7.539869516075284e-05,0.023205606846109388,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.26,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.6799664335894238,1.6278820596099706,1.7320508075688772,0.008,0.0022,0.3138,6.154995523326762e-05,0.019890520153808055,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.27,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,4.6873,0.2184,0.1001,0.03558631847485559,0.3744104605008376,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.28,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,4.7136,0.2237,0.0991,0.03578598996502876,0.37441046050083787,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.29,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,4.1066,0.209,0.102,0.031177602340119473,0.3744104605008373,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.30,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,3.6277,0.1591,0.1004,0.027541759121719037,0.24960697366722512,True,0.1,0.9,25.0,10000.0,0.938,0.139
