Name,CDF1
Comment,CDF run1
Reference,hep-ex/0001021
Process type,DY
Number of points,50
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.039
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF1.31,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,19.5,19.0,20.0,3.01,0.33,1.0,False,0.0,0.0,-1000.0,1000.0
CDF1.32,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,21.0,20.0,22.0,2.63,0.22,0.5,False,0.0,0.0,-1000.0,1000.0
CDF1.33,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,23.0,22.0,24.0,1.82,0.18,0.5,False,0.0,0.0,-1000.0,1000.0
CDF1.34,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,25.0,24.0,26.0,1.85,0.18,0.5,False,0.0,0.0,-1000.0,1000.0
CDF1.35,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,27.0,26.0,28.0,1.58,0.17,0.5,False,0.0,0.0,-1000.0,1000.0
CDF1.36,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,29.0,28.0,30.0,1.41,0.16,0.5,False,0.0,0.0,-1000.0,1000.0
CDF1.37,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,32.0,30.0,34.0,1.02,0.1,0.25,False,0.0,0.0,-1000.0,1000.0
CDF1.38,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,36.0,34.0,38.0,0.678,0.079,0.25,False,0.0,0.0,-1000.0,1000.0
CDF1.39,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,40.0,38.0,42.0,0.644,0.076,0.25,False,0.0,0.0,-1000.0,1000.0
CDF1.40,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,44.0,42.0,46.0,0.434,0.062,0.25,False,0.0,0.0,-1000.0,1000.0
CDF1.41,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,48.0,46.0,50.0,0.394,0.059,0.25,False,0.0,0.0,-1000.0,1000.0
CDF1.42,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,55.0,50.0,60.0,0.21,0.027,0.1,False,0.0,0.0,-1000.0,1000.0
CDF1.43,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,65.0,60.0,70.0,0.107,0.019,0.1,False,0.0,0.0,-1000.0,1000.0
CDF1.44,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,75.0,70.0,80.0,0.091,0.0175,0.1,False,0.0,0.0,-1000.0,1000.0
CDF1.45,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,85.0,80.0,90.0,0.045,0.0122,0.1,False,0.0,0.0,-1000.0,1000.0
CDF1.46,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,95.0,90.0,100.0,0.0351,0.0107,0.1,False,0.0,0.0,-1000.0,1000.0
CDF1.47,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,112.5,100.0,125.0,0.0181,0.0048,0.04,False,0.0,0.0,-1000.0,1000.0
CDF1.48,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,137.5,125.0,150.0,0.00711,0.00297,0.04,False,0.0,0.0,-1000.0,1000.0
CDF1.49,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,175.0,150.0,200.0,0.000974,0.000756,0.02,False,0.0,0.0,-1000.0,1000.0
