Name,LHCb7
Comment,LHCb 7TeV
Reference,arXiv:1505.07024
Process type,DY
Number of points,14
Number of uncorr.errors,2
Number of corr.errors,2
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Corr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb7.0,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,1.1,0.0,2.2,6.454,0.105,0.129,0.081,0.111,1.0,True,20.0,20.0,2.0,4.5
LHCb7.1,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,2.8,2.2,3.4,6.52,0.106,0.15,0.081,0.112,1.0,True,20.0,20.0,2.0,4.5
LHCb7.2,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,4.0,3.4,4.6,6.209,0.102,0.221,0.078,0.107,1.0,True,20.0,20.0,2.0,4.5
LHCb7.3,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,5.199999999999999,4.6,5.8,5.868,0.099,0.208,0.073,0.101,1.0,True,20.0,20.0,2.0,4.5
LHCb7.4,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,6.5,5.8,7.2,5.749,0.098,0.154,0.072,0.099,1.0,True,20.0,20.0,2.0,4.5
LHCb7.5,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,7.949999999999999,7.2,8.7,5.607,0.098,0.083,0.07,0.096,1.0,True,20.0,20.0,2.0,4.5
LHCb7.6,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,9.6,8.7,10.5,5.637,0.098,0.054,0.07,0.097,1.0,True,20.0,20.0,2.0,4.5
LHCb7.7,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,11.65,10.5,12.8,5.524,0.096,0.081,0.069,0.095,1.0,True,20.0,20.0,2.0,4.5
LHCb7.8,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,14.100000000000001,12.8,15.4,5.158,0.092,0.067,0.064,0.089,1.0,True,20.0,20.0,2.0,4.5
LHCb7.9,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,17.2,15.4,19.0,4.963,0.087,0.053,0.062,0.085,1.0,True,20.0,20.0,2.0,4.5
LHCb7.10,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,21.75,19.0,24.5,5.517,0.088,0.055,0.069,0.095,1.0,True,20.0,20.0,2.0,4.5
LHCb7.11,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,29.25,24.5,34.0,5.465,0.085,0.067,0.068,0.094,1.0,True,20.0,20.0,2.0,4.5
LHCb7.12,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,48.5,34.0,63.0,5.789,0.085,0.076,0.072,0.1,1.0,True,20.0,20.0,2.0,4.5
LHCb7.13,1 - 1 - 5,49000000.0,91.0,60.0,120.0,3.25,2.0,4.5,166.5,63.0,270.0,1.516,0.043,0.044,0.019,0.026,1.0,True,20.0,20.0,2.0,4.5
