Name,A8-00y04-norm
Comment,ATLAS 8TeV 0.0<|y|<0.4 normalized to 1/sigma
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-00y04-norm.0,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,1.0,0.0,2.0,0.02704,8.112e-05,5.4080000000000004e-05,0.00018928,1.0,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.1,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,3.0,2.0,4.0,0.05569,0.00011138000000000001,5.5690000000000004e-05,0.00016707,1.0,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.2,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,5.0,4.0,6.0,0.05571,0.00011142000000000001,5.571000000000001e-05,0.00022284000000000003,1.0,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.3,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,7.0,6.0,8.0,0.04883,9.766000000000001e-05,4.8830000000000005e-05,0.00014649,1.0,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.4,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,9.0,8.0,10.0,0.04086,0.00012258,4.0860000000000005e-05,0.00016344000000000002,1.0,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.5,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,11.5,10.0,13.0,0.03251,6.502e-05,3.251e-05,6.502e-05,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.6,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,14.5,13.0,16.0,0.02505,7.515e-05,2.5050000000000002e-05,5.0100000000000005e-05,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.7,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,18.0,16.0,20.0,0.01892,3.7840000000000004e-05,1.8920000000000002e-05,3.7840000000000004e-05,0.5,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.8,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,22.5,20.0,25.0,0.01365,2.7300000000000003e-05,1.3650000000000001e-05,2.7300000000000003e-05,0.4,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.9,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,27.5,25.0,30.0,0.009728,2.9184e-05,9.728e-06,1.9456e-05,0.4,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.10,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,33.5,30.0,37.0,0.00684,2.0519999999999997e-05,6.84e-06,1.368e-05,0.2857142857142857,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.11,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,41.0,37.0,45.0,0.004609,1.3827e-05,4.609e-06,9.218e-06,0.25,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.12,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,50.0,45.0,55.0,0.003033,9.099e-06,3.0330000000000004e-06,9.099e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.13,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,60.0,55.0,65.0,0.001932,7.728e-06,3.864e-06,7.728e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.14,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,70.0,65.0,75.0,0.001287,6.434999999999999e-06,2.574e-06,5.148e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.15,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,80.0,75.0,85.0,0.0008569,5.998299999999999e-06,2.5706999999999994e-06,4.284499999999999e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.16,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,95.0,85.0,105.0,0.0004927,2.9561999999999997e-06,9.854e-07,1.9708e-06,0.1,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.17,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,127.5,105.0,150.0,0.0001884,1.1304e-06,3.7680000000000004e-07,7.536000000000001e-07,0.044444444444444446,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.18,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,175.0,150.0,200.0,5.399e-05,5.938900000000001e-07,2.1596e-07,2.6995e-07,0.04,True,20.0,20.0,-2.4,2.4
A8-00y04-norm.19,1 - 1 - 5,64000000.0,91.0,66.0,116.0,0.2,0.0,0.4,550.0,200.0,900.0,2.284e-06,3.1976e-08,9.136000000000002e-09,1.8272000000000003e-08,0.002857142857142857,True,20.0,20.0,-2.4,2.4
