Name,CMS13-00y04-norm
Comment,CMS 13TeV 0.0<|y|<0.4 normalized
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-00y04-norm.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,1.5,1.0,2.0,0.049761,0.00062039,0.0008023720156261682,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,2.5,2.0,3.0,0.065975,0.00084715,0.0010638149098879937,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,3.5,3.0,4.0,0.07537,0.00095598,0.0012153047329785235,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,4.5,4.0,5.0,0.07694,0.00096009,0.0012406202223081808,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,5.5,5.0,6.0,0.07386,0.0009169,0.0011909567145786616,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,6.5,6.0,7.0,0.069785,0.00086506,0.0011252493139300285,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,7.5,7.0,8.0,0.065241,0.00080528,0.0010519795155134912,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,8.5,8.0,9.0,0.060728,0.00074756,0.0009792095770773486,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,9.5,9.0,10.0,0.05581,0.00068757,0.000899909209865084,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,10.5,10.0,11.0,0.050822,0.0006277,0.0008194801265680577,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.10,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,11.5,11.0,12.0,0.046804,0.0005768,0.0007546918233027306,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.11,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,12.5,12.0,13.0,0.043911,0.00053952,0.0007080435999710752,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.12,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,13.5,13.0,14.0,0.040949,0.0005047,0.0006602827850701546,2.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.13,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,15.0,14.0,16.0,0.035321,0.00043221,0.0005695340118553061,1.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.14,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,17.0,16.0,18.0,0.030841,0.00037117,0.0004972961824305512,1.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.15,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,19.0,18.0,20.0,0.02635,0.00031292,0.00042488098333533355,1.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.16,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,21.0,20.0,22.0,0.02313,0.00026696,0.00037296004343629095,1.0,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.17,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,23.5,22.0,25.0,0.019425,0.00021549,0.0003132187135213987,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.18,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,26.5,25.0,28.0,0.016179,0.00017389,0.0002608785362194445,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.19,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,30.0,28.0,32.0,0.012855,0.00013449,0.0002072806467087557,0.5,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.20,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,34.5,32.0,37.0,0.010168,0.00010522,0.0001639540735693993,0.4,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.21,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,40.0,37.0,43.0,0.0076587,7.9405e-05,0.0001234928268337882,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.22,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,47.5,43.0,52.0,0.0053112,5.5096e-05,8.564052670552652e-05,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.23,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,58.5,52.0,65.0,0.0032375,3.4e-05,5.2203118920233105e-05,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.24,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,75.0,65.0,85.0,0.0016793,1.8409e-05,2.707789887343551e-05,0.1,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.25,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,102.5,85.0,120.0,0.00071839,8.5785e-06,1.158369068760039e-05,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.26,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,140.0,120.0,160.0,0.00026624,3.6692e-06,4.292991005814012e-06,0.05,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.27,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,175.0,160.0,190.0,0.00011566,1.9065e-06,1.8649614623364204e-06,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.28,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,205.0,190.0,220.0,6.1559e-05,1.2172e-06,9.926090494550207e-07,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.29,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,235.0,220.0,250.0,3.4571e-05,8.0613e-07,5.574406252328583e-07,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.30,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,275.0,250.0,300.0,1.8175e-05,4.7481e-07,2.930630691506523e-07,0.04,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.31,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,350.0,300.0,400.0,6.2427e-06,1.8023e-07,1.0066051289060671e-07,0.02,True,25.0,25.0,-2.4,2.4
CMS13-00y04-norm.32,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.2,0.0,0.4,950.0,400.0,1500.0,2.5672e-07,8.435e-09,4.139485618286407e-09,0.0018181818181818182,True,25.0,25.0,-2.4,2.4
