Name,E228-300
Comment,E288 (300) data
Reference,Phys.Rev.D 23 (1981) 604
Process type,DY
Number of points,118
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.25
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E228-300.4Q5.0,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,0.1,0.0,0.2,9160.0,420.0,13262.911924324999,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.1,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,0.30000000000000004,0.2,0.4,7650.0,300.0,4420.970641441667,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.2,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,0.5,0.4,0.6,6610.0,300.0,2652.582384865001,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.3,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,0.7,0.6,0.8,5580.0,300.0,1894.7017034749992,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.4,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,0.9,0.8,1.0,3910.0,270.0,1473.6568804805563,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.5,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,1.1,1.0,1.2,2730.0,230.0,1205.7192658477277,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.6,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,1.2999999999999998,1.2,1.4,1850.0,200.0,1020.2239941788467,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.7,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,1.5,1.4,1.6,1580.0,200.0,884.1941282883322,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.8,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,1.7000000000000002,1.6,1.8,838.0,155.0,780.1712896661769,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.9,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,1.9,1.8,2.0,503.0,136.0,698.0479960171056,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.10,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,2.1,2.0,2.2,397.0,102.0,631.5672344916662,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.11,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,2.3,2.2,2.4,189.0,84.0,576.6483445358703,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.12,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,2.5,2.4,2.6,58.0,101.0,530.5164769729995,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.13,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,2.7,2.6,2.8,212.0,194.0,491.21896016018593,False,0.0,0.0,-1000.0,1000.0
E228-300.4Q5.14,1 - 2 - 1001,563.1129,4.5,4.0,5.0,0.21000000000000002,-0.09,0.51,2.9,2.8,3.0,-139.0,108.0,457.34179049396516,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.0,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,0.1,0.0,0.2,2570.0,160.0,13262.911924324999,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.1,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,0.30000000000000004,0.2,0.4,2300.0,100.0,4420.970641441667,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.2,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,0.5,0.4,0.6,2070.0,100.0,2652.582384865001,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.3,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,0.7,0.6,0.8,1820.0,110.0,1894.7017034749992,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.4,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,0.9,0.8,1.0,1130.0,80.0,1473.6568804805563,False,0.0,0.0,-1000.0,1000.0
E228-300.5Q6.5,1 - 2 - 1001,563.1129,5.5,5.0,6.0,0.21000000000000002,-0.09,0.51,1.1,1.0,1.2,872.0,73.0,1205.7192658477277,False,0.0,0.0,-1000.0,1000.0
