Name,A8-116Q150-norm
Comment,ATLAS 8TeV 116<Q<150 normalized to 1/sigma
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-116Q150-norm.0,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.0213,0.000426,0.000213,0.0009159,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.1,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,3.0,2.0,4.0,0.04563,0.00054756,0.00027378,0.00050193,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.2,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,5.0,4.0,6.0,0.04826,0.0005791199999999999,0.00028955999999999996,0.00048259999999999997,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.3,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.04306,0.00051672,0.00025836,0.0004306,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.4,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.03838,0.0005373199999999999,0.00023027999999999997,0.00042217999999999997,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.5,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,11.5,10.0,13.0,0.03049,0.00039637,0.00018293999999999998,0.00033539,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.6,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,14.5,13.0,16.0,0.02479,0.00034706,0.00014874,0.00022311000000000002,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.7,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,18.0,16.0,20.0,0.01912,0.00024856000000000005,0.00011472,0.00017208000000000002,0.25,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.8,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,22.5,20.0,25.0,0.01453,0.00018889000000000002,8.718e-05,0.00013077000000000002,0.2,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.9,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,27.5,25.0,30.0,0.01074,0.00016109999999999999,7.518e-05,0.00011814,0.2,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.10,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,33.5,30.0,37.0,0.007864,0.00011795999999999999,4.7183999999999994e-05,8.6504e-05,0.14285714285714285,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.11,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,41.0,37.0,45.0,0.005611,8.9776e-05,3.9277e-05,6.7332e-05,0.125,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.12,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,50.0,45.0,55.0,0.003842,6.5314e-05,2.6894e-05,6.147200000000001e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.13,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,60.0,55.0,65.0,0.002597,5.7134000000000006e-05,2.3373e-05,5.7134000000000006e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.14,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,70.0,65.0,75.0,0.001777,5.1533e-05,2.1324e-05,4.9756e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.15,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,80.0,75.0,85.0,0.001279,4.4764999999999996e-05,2.0464e-05,4.0928e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.16,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,95.0,85.0,105.0,0.0008626,2.3290200000000003e-05,7.763400000000001e-06,2.50154e-05,0.05,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.17,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,127.5,105.0,150.0,0.0003755,9.3875e-06,2.6285e-06,1.0138500000000001e-05,0.022222222222222223,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.18,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,175.0,150.0,200.0,0.0001168,4.672e-06,1.7520000000000001e-06,2.6864e-06,0.02,True,20.0,20.0,-2.4,2.4
A8-116Q150-norm.19,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,550.0,200.0,900.0,4.53e-06,2.1743999999999997e-07,5.888999999999999e-08,9.966e-08,0.0014285714285714286,True,20.0,20.0,-2.4,2.4
