Name,CDF2
Comment,CDF run2
Reference,arXiv:1207.7138
Process type,DY
Number of points,82
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.058
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF2.29,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,14.75,14.5,15.0,5.363,0.19,0.055,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.30,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,15.25,15.0,15.5,5.186,0.19,0.053,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.31,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,15.75,15.5,16.0,4.792,0.181,0.049,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.32,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,16.25,16.0,16.5,4.431,0.172,0.045,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.33,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,16.75,16.5,17.0,4.149,0.165,0.042,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.34,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,17.25,17.0,17.5,4.346,0.179,0.044,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.35,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,17.75,17.5,18.0,3.931,0.166,0.04,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.36,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,18.25,18.0,18.5,3.757,0.163,0.038,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.37,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,18.75,18.5,19.0,3.753,0.167,0.038,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.38,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,19.25,19.0,19.5,3.586,0.163,0.036,2.0,False,0.0,0.0,-1000.0,1000.0
