Name,E615(pi)-dQ-11.7
Comment,E615 pi-data Q-differential only Q=11.7
Reference,Phys.Rev.D 39 (1989) 92-122
Process type,DY
Number of points,11
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.16
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E615(pi)-dQ.[11.70-13.05].0,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,0.125,0.0,0.25,5.38e-05,5.38e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].1,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,0.375,0.25,0.5,0.0002471,0.0001105,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].2,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,0.625,0.5,0.75,0.0005225,0.0001652,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].3,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,0.875,0.75,1.0,0.0003344,0.0001182,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].4,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,1.125,1.0,1.25,0.0002102,8.58e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].5,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,1.375,1.25,1.5,0.0002091,9.35e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].6,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,1.625,1.5,1.75,0.0001169,6.75e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].7,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,1.875,1.75,2.0,9.35e-05,5.4e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].8,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,2.125,2.0,2.25,0.0001659,9.58e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].9,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,2.375,2.25,2.5,6.13e-05,4.33e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[11.70-13.05].10,2 - 2 - 1004,473.6,12.375,11.7,13.05,0.5,0.0,1.0,2.625,2.5,2.75,3.01e-05,3.01e-05,0.0029629629629629598,False,0.0,0.0,-1000.0,1000.0
